iter,train_loss,valid_loss,test_loss
2430,0.0007,0.0023,0.0022
2440,0.0008,0.0022,0.0025
2450,0.0019,0.0031,0.0028
2460,0.0014,0.0032,0.0026
2470,0.0008,0.0022,0.0024
2480,0.0008,0.0022,0.0023
2490,0.0007,0.0024,0.0021
2500,0.0015,0.0026,0.0031
2510,0.001,0.0023,0.0023
2520,0.0007,0.0023,0.0022
2530,0.0008,0.0021,0.0023
2540,0.0007,0.0021,0.0021
2550,0.0007,0.0024,0.002
2560,0.0008,0.0027,0.002
2570,0.001,0.0026,0.0021
2580,0.0007,0.0021,0.0021
2590,0.0008,0.0025,0.002
2600,0.0007,0.002,0.0021
2610,0.0008,0.0025,0.0019
2620,0.0012,0.0031,0.0023
2630,0.0006,0.0021,0.0019
2640,0.0009,0.0022,0.0024
2650,0.0007,0.0024,0.0019
2660,0.0011,0.0022,0.0026
2670,0.0012,0.0027,0.002
2680,0.0011,0.0022,0.0025
2690,0.0007,0.0023,0.0019
2700,0.0007,0.0023,0.0019
2710,0.0006,0.0021,0.002
2720,0.0016,0.0026,0.0029
2730,0.0006,0.002,0.0019
2740,0.0007,0.002,0.0021
2750,0.0006,0.002,0.0019
2760,0.0005,0.0019,0.0018
2770,0.0019,0.0035,0.0027
2780,0.0009,0.0022,0.0021
2790,0.0006,0.0019,0.0019
2800,0.0005,0.002,0.0018
2810,0.0013,0.0032,0.002
2820,0.001,0.0025,0.0021
2830,0.0005,0.0019,0.0018
2840,0.0006,0.0019,0.0019
2850,0.0005,0.0021,0.0016
2860,0.0014,0.0024,0.0027
2870,0.0007,0.0019,0.0019
2880,0.0007,0.0019,0.002
2890,0.0004,0.0018,0.0016
2900,0.0007,0.0019,0.0019
2910,0.0007,0.0024,0.0017
2920,0.0006,0.0019,0.0017
2930,0.0005,0.002,0.0016
2940,0.0005,0.0018,0.0017
2950,0.0004,0.0019,0.0015
2960,0.0014,0.0033,0.002
2970,0.0012,0.0023,0.0023
2980,0.0006,0.0018,0.0018
2990,0.0004,0.0018,0.0016
3000,0.0004,0.0019,0.0015
3010,0.0005,0.002,0.0014
3020,0.0007,0.002,0.0018
3030,0.0006,0.0021,0.0017
3040,0.0005,0.0019,0.0016
3050,0.0005,0.0019,0.0016
3060,0.0006,0.0018,0.0018
3070,0.0004,0.0017,0.0015
